5,4,6,6,6,6,6,6,7,7,6,6,6,5,6,6,6,7,7,7,7,3,5,3,6,5,8
5,5,4,4,6,4,6,4,5,5,5,6,4,4,5,4,4,5,7,6,5,3,5,3,5,3,6
4,4,4,4,5,4,5,3,5,4,4,4,5,4,5,4,5,4,6,6,5,3,3,3,4,3,5
4,4,4,4,4,3,5,4,5,4,4,4,5,3,3,3,4,5,6,5,4,3,4,3,4,3,4
4,5,4,4,4,3,5,5,4,5,4,4,4,4,4,3,5,4,5,4,4,3,4,3,3,4,3
5,5,5,5,5,4,5,5,6,6,7,5,5,4,5,5,5,8,5,5,4,3,5,3,4,3,4
8,7,6,6,5,4,6,8,9,6,7,5,5,7,9,7,8,9,6,5,4,6,6,6,6,6,5
16,15,13,13,8,6,10,11,15,13,11,8,8,12,13,14,13,15,10,7,5,8,14,11,9,7,6
23,15,21,21,15,7,12,10,17,14,18,14,8,16,20,15,21,23,12,8,11,10,20,17,15,13,8
26,19,31,31,16,9,14,9,21,14,22,15,13,19,25,18,24,27,14,13,13,22,23,20,17,11,17
36,23,33,33,25,12,12,12,26,15,24,21,16,29,26,24,29,26,20,27,31,23,23,23,21,17,31
41,38,42,42,35,14,13,21,27,15,21,33,40,28,26,31,39,34,30,44,54,30,33,26,24,20,44
52,35,48,48,41,14,23,24,34,19,23,43,54,30,30,41,41,35,43,61,84,34,35,29,28,29,54
53,43,45,45,43,21,19,24,41,24,23,34,72,37,34,34,40,39,39,76,83,38,39,30,36,32,58
62,56,43,43,57,25,13,24,36,33,25,50,96,46,35,34,49,44,62,54,53,47,52,39,38,42,79
90,68,70,70,70,41,9,34,46,39,37,64,137,41,38,48,62,46,82,29,89,52,37,44,42,56,92
88,81,73,73,74,32,16,46,66,30,29,56,150,44,36,41,71,57,94,17,116,49,18,56,46,64,103
71,72,66,66,47,26,23,37,62,26,25,41,130,35,27,40,57,49,94,16,113,43,12,54,32,55,95
53,58,48,48,19,17,19,26,37,20,25,33,77,26,26,29,31,32,81,14,64,39,13,33,21,43,66
23,17,24,24,8,9,11,14,17,12,16,15,19,15,18,20,19,17,40,10,8,14,7,12,14,16,26
8,8,9,9,5,9,11,10,9,11,10,13,10,13,15,14,11,11,17,10,3,10,5,10,9,8,9
8,6,8,8,5,7,7,8,7,7,8,8,9,9,11,7,10,9,11,8,4,6,4,6,5,8,8
6,8,7,7,5,7,7,8,9,7,8,11,7,7,7,9,10,10,11,5,3,5,5,7,6,6,7
6,7,6,6,6,6,6,8,7,6,7,9,7,9,7,7,8,9,8,8,3,6,4,6,4,8,6
